,total_time,fire_size
447,83 days 07:30:00,44452.0
448,32 days 19:30:00,10388.0
449,15 days 16:10:00,9443.0
450,105 days 09:14:00,32059.0
451,40 days 05:40:00,2349.0
452,7 days 07:00:00,49092.0
453,40 days 10:05:00,12720.0
454,10 days 02:30:00,2750.0
455,126 days 04:00:00,1861.0
456,107 days 21:25:00,5311.0
457,0 days 00:35:00,10173.0
458,35 days 02:48:00,6112.0
459,161 days 20:00:00,1779.0
460,19 days 02:00:00,45814.0
461,10 days 02:00:00,7950.0
462,35 days 02:30:00,3043.0
463,12 days 08:37:00,1912.0
464,4 days 05:00:00,2405.0
465,64 days 17:59:00,1179.0
466,79 days 21:59:00,1112.0
467,72 days 21:20:00,2520.0
468,132 days 10:00:00,24776.0
469,53 days 12:00:00,25199.0
470,16 days 08:00:00,1069.0
471,17 days 09:30:00,1158.0
472,53 days 14:30:00,6625.0
473,52 days 21:00:00,3674.0
474,17 days 13:00:00,12856.0
475,51 days 21:00:00,10213.0
476,63 days 00:00:00,32903.0
477,14 days 02:30:00,2193.0
478,22 days 21:00:00,1829.0
479,15 days 07:00:00,1165.0
480,8 days 02:00:00,1567.0
481,63 days 20:30:00,2250.0
482,2 days 19:45:00,17449.0
483,136 days 19:30:00,7783.0
484,30 days 19:21:00,1081.0
485,4 days 07:44:00,2847.0
486,40 days 02:00:00,14936.0
487,30 days 13:00:00,4851.0
488,13 days 21:43:00,1370.0
489,8 days 04:45:00,8300.0
490,15 days 02:10:00,1710.0
491,21 days 20:40:00,9629.0
492,63 days 06:00:00,68148.0
493,127 days 23:59:00,54545.0
494,65 days 02:53:00,1132.0
495,30 days 03:25:00,7631.9
496,10 days 02:25:00,1778.0
497,40 days 08:10:00,9164.0
498,65 days 22:41:00,19775.0
499,2 days 17:00:00,3934.0
500,144 days 00:00:00,1587.0
501,0 days 13:30:00,2000.0
502,9 days 03:26:00,5500.0
503,7 days 08:05:00,15300.0
504,0 days 04:52:00,1381.0
505,32 days 08:00:00,37026.0
506,57 days 04:30:00,3280.0
507,56 days 05:00:00,1225.0
508,1 days 23:30:00,1675.0
509,104 days 20:56:00,65834.0
510,104 days 10:17:00,17540.0
511,65 days 10:02:00,15118.0
512,104 days 08:03:00,38394.0
513,104 days 05:39:00,13654.0
514,102 days 04:53:00,8332.0
515,0 days 01:41:00,1500.0
516,53 days 08:01:00,21125.0
517,3 days 01:30:00,1200.0
518,1 days 23:15:00,1230.0
519,2 days 13:35:00,2420.0
520,39 days 22:15:00,10836.0
521,0 days 14:10:00,4824.0
522,34 days 03:23:00,1646.0
523,40 days 05:00:00,31419.0
524,40 days 05:00:00,3044.0
525,40 days 01:00:00,25398.0
526,35 days 02:39:00,28336.0
527,106 days 03:30:00,11496.0
528,139 days 17:44:00,7456.0
529,17 days 14:00:00,8135.0
530,22 days 06:30:00,1533.0
531,9 days 05:35:00,1800.0
532,4 days 05:00:00,10458.0
533,93 days 18:00:00,1435.0
534,66 days 19:00:00,4320.0
535,4 days 00:00:00,3852.0
536,56 days 18:00:00,1584.0
537,70 days 17:00:00,13009.0
538,24 days 21:00:00,4728.0
539,11 days 21:15:00,1926.0
540,110 days 19:45:00,15089.0
541,5 days 00:00:00,4747.0
542,60 days 00:00:00,1324.0
543,150 days 22:30:00,32250.0
544,27 days 23:58:00,2889.0
545,52 days 02:00:00,34091.0
546,18 days 16:44:00,1620.0
547,7 days 07:00:00,2738.0
548,1 days 19:30:00,1550.0
549,18 days 08:55:00,4891.0
550,53 days 14:03:00,6182.0
551,13 days 02:00:00,6246.0
552,1 days 18:06:00,1940.0
553,6 days 07:23:00,11222.0
554,15 days 21:00:00,2640.0
555,9 days 23:30:00,2354.0
556,117 days 17:44:00,10788.73
557,3 days 08:50:00,30305.0
558,10 days 06:00:00,1209.0
559,76 days 08:34:00,1485.0
560,13 days 11:19:00,12500.0
561,22 days 03:30:00,2400.0
562,15 days 04:30:00,8733.0
563,22 days 04:08:00,10022.0
564,26 days 04:00:00,1633.0
565,83 days 01:26:00,4759.0
566,12 days 09:00:00,2455.0
567,8 days 00:00:00,16802.0
568,10 days 05:00:00,8591.0
569,24 days 21:16:00,2889.0
570,48 days 08:45:00,1264.0
571,0 days 01:00:00,9000.0
572,5 days 15:06:00,3268.0
573,35 days 18:15:00,2500.0
574,3 days 05:20:00,4208.0
575,4 days 02:45:00,2660.0
576,65 days 17:22:00,12607.0
577,119 days 00:00:00,2121.0
578,75 days 03:00:00,6900.0
579,69 days 12:25:00,44345.0
580,24 days 10:39:00,1120.0
581,43 days 17:45:00,1545.0
582,64 days 06:49:00,4106.5
583,5 days 03:00:00,3226.0
584,30 days 10:02:00,1082.0
585,110 days 22:53:00,6990.0
586,10 days 14:00:00,9356.0
587,0 days 01:00:00,1865.0
588,41 days 21:35:00,4100.0
589,13 days 06:30:00,4852.0
590,97 days 01:30:00,2163.0
591,30 days 02:34:00,3949.0
592,30 days 02:31:00,6923.0
593,59 days 04:16:00,3465.6
594,16 days 21:09:00,1255.0
595,53 days 02:41:00,1392.0
596,53 days 03:40:00,3160.0
597,48 days 00:05:00,1238.0
598,14 days 02:41:00,91622.0
599,0 days 09:30:00,1351.0
600,23 days 03:50:00,1370.0
601,18 days 01:01:00,1100.0
602,52 days 19:17:00,2400.0
603,15 days 00:25:00,1635.0
604,26 days 00:24:00,6130.0
605,104 days 03:43:00,1417.0
606,108 days 07:07:00,2577.0
607,74 days 06:45:00,1270.0
608,13 days 23:00:00,1364.0
609,18 days 12:00:00,14560.0
610,3 days 04:53:00,2660.0
611,0 days 05:00:00,1063.0
612,39 days 04:11:00,1922.0
613,26 days 03:35:00,2400.0
614,32 days 01:59:00,3257.0
615,52 days 00:00:00,7300.0
616,112 days 23:55:00,1932.0
617,21 days 03:49:00,7128.0
618,69 days 19:59:00,1150.0
619,57 days 19:00:00,6399.0
620,56 days 16:58:00,2120.0
